Time,x,y,z
2025-03-03T11:34:07.396182,0.43,-0.12,0.67
2025-03-03T11:34:09.270209,0.37,-0.18,0.67
2025-03-03T11:34:09.661068,0.37,-0.12,0.67
2025-03-03T11:34:10.296264,0.24,-0.12,0.67
2025-03-03T11:34:10.686022,-0.06,-0.12,0.55
2025-03-03T11:34:11.100527,-0.24,-0.12,0.49
2025-03-03T11:34:11.506908,-0.49,-0.12,0.43
2025-03-03T11:34:11.885644,-0.31,-0.18,0.49
2025-03-03T11:34:12.263841,-0.37,-0.12,0.49
2025-03-03T11:34:12.660693,-0.43,-0.12,0.49
2025-03-03T11:34:13.069082,0.24,-0.18,0.61
2025-03-03T11:34:13.475108,-0.37,-0.12,0.43
2025-03-03T11:34:13.872000,0.18,-0.18,0.61
2025-03-03T11:34:14.251429,0.31,-0.18,0.67
2025-03-03T11:34:14.644098,-0.06,-0.12,0.55
2025-03-03T11:34:15.065196,0.43,-0.18,0.67
2025-03-03T11:34:15.470540,0.06,-0.18,0.61
2025-03-03T11:34:15.859128,0.0,-0.12,0.61
2025-03-03T11:34:16.298379,0.24,-0.12,0.67
2025-03-03T11:34:16.680507,0.24,-0.18,0.61
2025-03-03T11:34:17.071325,-0.06,-0.12,0.61
2025-03-03T11:34:17.452221,0.0,-0.12,0.55
2025-03-03T11:34:17.850804,0.12,-0.12,0.55
2025-03-03T11:34:18.268911,-0.55,-0.12,0.43
2025-03-03T11:34:18.664505,-0.18,-0.12,0.55
2025-03-03T11:34:19.075838,0.31,-0.18,0.61
2025-03-03T11:34:19.464549,0.0,-0.12,0.61
2025-03-03T11:34:19.876028,0.06,-0.12,0.61
2025-03-03T11:34:20.326855,0.12,-0.12,0.61
2025-03-03T11:34:20.789388,0.18,-0.12,0.55
2025-03-03T11:34:21.199766,0.24,-0.12,0.67
2025-03-03T11:34:21.581256,-0.24,-0.12,0.55
2025-03-03T11:34:21.962360,-0.24,-0.18,0.55
2025-03-03T11:34:22.340048,0.06,-0.18,0.55
2025-03-03T11:34:22.726649,0.24,-0.18,0.61
2025-03-03T11:34:23.144942,0.43,-0.18,0.67
2025-03-03T11:34:23.530028,0.73,-0.18,0.73
2025-03-03T11:34:23.930863,0.06,-0.18,0.55
2025-03-03T11:34:24.318670,0.18,-0.18,0.61
2025-03-03T11:34:24.697036,-0.24,-0.12,0.49
2025-03-03T11:34:25.084899,-0.06,-0.12,0.55
2025-03-03T11:34:25.491923,0.24,-0.18,0.61
2025-03-03T11:34:25.869484,-0.24,-0.18,0.49
2025-03-03T11:34:26.278802,-0.37,-0.12,0.73
2025-03-03T11:34:26.666449,1.1,-0.37,1.1
2025-03-03T11:34:27.052073,-0.85,-0.06,0.67
2025-03-03T11:34:27.426306,0.55,-0.18,0.61
2025-03-03T11:34:27.805029,0.61,-0.18,0.67
2025-03-03T11:34:28.201507,0.24,-0.18,0.61
2025-03-03T11:34:28.575629,-0.55,-0.12,0.43
2025-03-03T11:34:28.959855,0.31,-0.18,0.61
2025-03-03T11:34:29.346778,-0.55,-0.12,0.49
2025-03-03T11:34:29.737478,-0.43,-0.12,0.55
2025-03-03T11:34:30.155770,-0.43,-0.18,0.55
2025-03-03T11:34:30.560874,-0.31,-0.18,0.43
2025-03-03T11:34:30.930535,0.31,-0.12,0.85
2025-03-03T11:34:31.307077,0.12,-0.18,0.49
2025-03-03T11:34:31.704370,0.0,-0.12,0.55
2025-03-03T11:34:32.133311,-0.12,-0.12,0.24
2025-03-03T11:34:32.508824,-0.06,-0.12,0.61
2025-03-03T11:34:32.886418,0.0,-0.12,0.55
2025-03-03T11:34:33.308963,-0.24,-0.18,0.67
2025-03-03T11:34:33.691913,0.06,-0.18,0.61
2025-03-03T11:34:34.087093,0.06,-0.12,0.61
2025-03-03T11:34:34.476389,0.0,-0.18,0.61
2025-03-03T11:34:34.857758,0.18,-0.12,0.55
2025-03-03T11:34:35.586607,0.0,-0.12,0.49
2025-03-03T11:34:35.961543,0.0,-0.12,0.55
2025-03-03T11:34:36.353267,-0.06,-0.12,0.49
2025-03-03T11:34:36.726292,-0.24,-0.18,0.55
2025-03-03T11:34:37.094136,0.18,-0.18,0.67
2025-03-03T11:34:37.474795,0.37,-0.18,0.37
2025-03-03T11:34:37.865627,0.06,-0.18,0.61
2025-03-03T11:34:38.242169,0.24,-0.18,0.67
2025-03-03T11:34:38.623390,0.24,-0.12,0.67
2025-03-03T11:34:38.999599,-0.12,-0.12,0.61
