temperature,humidity
12.98,99.96
20.64,60.89
12.81,87.75
12.93,87.75
14.67,64.8
10.66,98.49
19.17,56.01
8.58,99.96
20.57,62.85
12.78,87.75
10.89,98
11.51,99.47
11.31,91.66
14.26,82.38
13.16,99.96
10.49,92.63
22.55,62.36
20.19,60.89
10.32,92.63
20.03,68.71
12.96,82.38
14.07,79.94
20.18,60.89
13.41,79.94
17.68,66.75
18.59,61.87
18.57,75.54
18.69,74.57
15.84,85.31
13.34,84.33
17.21,68.71
20.43,62.85
13.76,87.26
12.44,89.7
19.41,47.22
10.35,98.98
20.3,61.87
18.15,82.38
18.63,58.94
17.99,55.52
13.94,83.36
13.26,87.26
17.81,71.64
14.22,83.84
13.37,87.26
19.9,47.71
16.8,52.11
18.48,70.66
12.16,97.52
15.26,82.38
13.06,86.77
15.23,80.43
14.33,82.38
16.62,71.15
20.06,57.48
20.22,55.04
13.8,84.82
15.07,80.43
12,86.77
21.54,49.66
14.48,83.84
10.9,99.96
14.14,74.08
13.44,83.36
20.57,61.87
13.9,83.84
17.04,56.99
13.82,84.82
15.35,80.91
14.22,80.91
20.54,62.36
17.61,73.59
13.55,53.08
21.49,69.68
17.88,53.08
10.59,99.96
20.51,61.38
20.82,60.41
19.67,59.92
13.67,80.43
18.23,81.4
16.03,55.52
12.21,56.99
16.66,67.73
16.64,59.43
13.26,86.77
12.08,76.03
10.83,91.17
11.62,91.66
10.42,92.63
12.62,88.73
15.79,62.85
8.93,99.96
19.94,52.11
10.2,99.96
12.85,83.84
11.93,88.24
11.69,88.73
12.69,83.36
11.42,84.33
12.92,86.29
17.06,61.38
12.68,85.8
12.81,86.29
8.58,99.96
12.64,98.49
19.96,53.57
11.81,98
11.81,99.96
10.03,86.29
16.86,56.99
23.06,65.78
12.13,93.12
9.67,94.1
13.26,84.82
13.84,81.4
11.64,98.49
10.18,82.87
10.16,86.77
10.93,82.38
12.49,75.54
16.49,76.52
9.23,98.98
8.07,83.84
18.67,91.17
20.18,60.41
20.15,59.92
12.93,95.07
13.09,88.73
20.24,61.38
14.8,85.8
26.98,59.92
17.76,75.05
24.81,65.78
29.42,54.55
20.19,67.73
19.91,62.85
20.59,67.73
30.48,46.25
23.09,61.38
32.68,48.2
22.95,66.75
14.09,80.43
31.26,46.73
9.11,99.96
19.92,62.85
31.62,69.2
19.93,62.85
32.03,73.1
31.38,74.08
28.68,50.15
26.72,45.76
22.1,73.1
22.14,73.1
27.02,46.73
22.18,73.1
20.2,62.85
28.26,43.8
20.23,62.36
31.58,44.29
29.53,59.92
29.96,46.25
20.76,70.17
28.43,54.55
20.39,62.36
22.93,66.27
22.72,73.59
22.75,68.71
20.31,62.85
23.67,88.73
21.7,71.64
20.31,62.85
21.1,74.08
21.38,70.66
21.15,72.13
20.6,72.61
18.21,80.43
22.69,73.1
19.43,78.96
20.69,98
15.6,79.94
17.74,82.38
20.31,99.96
9.92,99.96
9.2,99.96
18.23,83.36
17.51,82.87
18.43,83.84
18.29,83.84
18.13,89.7
20.13,64.8
17.65,84.82
17.5,87.75
15.57,87.75
22.53,73.59
16.75,88.24
22.5,73.1
20.02,65.29
14.44,93.12
15.15,99.96
16.25,73.59
14.94,99.96
17.96,66.27
17,81.4
20.69,62.85
14.75,81.89
18.34,76.03
19.89,70.66
18.2,59.43
24.81,59.92
18.55,67.24
20.14,68.22
20.17,64.8
24.01,63.82
26.59,53.57
20.28,66.75
20.7,60.89
23.71,41.36
28.44,60.41
28.35,79.45
20.7,66.27
20.63,58.45
29.78,78.47
28.24,54.55
27.74,58.94
20.97,65.29
26.3,58.45
24.02,64.31
28.54,54.06
27.13,61.87
22.15,65.78
27,52.59
27.78,61.87
27.06,61.87
29.23,81.89
27.12,56.5
23.82,65.29
25.13,58.45
21.34,73.1
26.68,61.87
27.02,65.29
20.71,59.92
23.76,68.71
20.69,58.94
23.32,82.38
21.38,80.43
27.84,64.8
27.34,72.61
22.61,84.82
26.71,51.62
22.32,78.47
24.57,79.45
22.39,81.4
23.21,82.87
20.83,86.29
17.91,89.21
16.61,56.01
20.93,83.36
9.59,98.49
20.69,60.89
20.16,95.07
19.7,86.29
20.53,85.31
18.18,90.19
19.16,88.24
14.12,99.96
18.07,90.68
19.89,84.33
18.57,93.61
13.22,99.96
19.13,87.75
19.13,92.63
19.41,96.54
14.45,99.96
20.1,85.31
19.98,88.73
20.64,60.41
14.64,99.96
14.77,99.96
17.11,96.05
20.19,82.87
20.61,87.26
14.77,99.96
20.53,88.73
16.54,82.38
16.58,81.89
15.66,78.96
16.06,79.45
16.39,84.82
13.31,80.91
12.9,82.38
14.65,83.36
15.11,85.31
16.76,83.36
14.89,84.82
15.57,81.89
15.59,82.38
19.68,56.5
15.62,82.38
17.07,78.47
12.69,89.21
15.58,79.94
16.94,82.38
15.43,80.43
15.85,80.43
15.7,80.43
11.02,95.56
11.12,96.05
11.19,94.1
15.99,82.38
11.11,94.59
11.15,96.54
11.18,97.03
11.71,96.05
12.13,96.54
19.73,57.48
22.07,56.5
33,49.66
18.55,67.73
17.51,59.92
28.6,51.62
12.88,99.96
19.86,58.94
34.71,45.27
33.54,48.2
22.58,63.34
23.2,59.43
18.7,70.17
22.81,63.82
29.31,54.55
15.45,64.31
21.89,58.45
29.25,49.66
20.78,62.85
19.85,59.43
30.49,55.04
21.1,60.41
20.57,61.38
20.98,61.38
24.95,54.55
25.42,50.15
27.26,47.22
27.97,52.11
28.22,56.99
30.01,57.96
27.54,57.48
28.88,49.66
24.4,57.96
20.46,63.82
23.69,60.89
27.99,49.18
28.18,59.43
26.13,52.59
22.93,62.85
